State,Year,Crime Type,Value
d & n haveli,2005,No. of Rape cases,5
daman & diu,2005,No. of Rape cases,2
lakshadweep,2005,No. of Rape cases,0
puducherry,2005,No. of Rape cases,6
andhra pradesh,2006,No. of Rape cases,1049
arunachal pradesh,2006,No. of Rape cases,37
assam,2006,No. of Rape cases,1244
bihar,2006,No. of Rape cases,1232
chhattisgarh,2006,No. of Rape cases,995
goa,2006,No. of Rape cases,21
gujarat,2006,No. of Rape cases,354
haryana,2006,No. of Rape cases,608
himachal pradesh,2006,No. of Rape cases,113
jammu & kashmir,2006,No. of Rape cases,250
jharkhand,2006,No. of Rape cases,799
karnataka,2006,No. of Rape cases,400
kerala,2006,No. of Rape cases,601
madhya pradesh,2006,No. of Rape cases,2900
maharashtra,2006,No. of Rape cases,1500
manipur,2006,No. of Rape cases,40
meghalaya,2006,No. of Rape cases,74
mizoram,2006,No. of Rape cases,72
nagaland,2006,No. of Rape cases,23
odisha,2006,No. of Rape cases,985
punjab,2006,No. of Rape cases,442
rajasthan,2006,No. of Rape cases,1085
sikkim,2006,No. of Rape cases,20
tamil nadu,2006,No. of Rape cases,457
tripura,2006,No. of Rape cases,189
uttar pradesh,2006,No. of Rape cases,1314
uttarakhand,2006,No. of Rape cases,147
west bengal,2006,No. of Rape cases,1731
a & n islands,2006,No. of Rape cases,6
chandigarh,2006,No. of Rape cases,19
d & n haveli,2006,No. of Rape cases,6
daman & diu,2006,No. of Rape cases,3
lakshadweep,2006,No. of Rape cases,0
puducherry,2006,No. of Rape cases,9
andhra pradesh,2007,No. of Rape cases,1070
arunachal pradesh,2007,No. of Rape cases,48
assam,2007,No. of Rape cases,1437
bihar,2007,No. of Rape cases,1555
chhattisgarh,2007,No. of Rape cases,982
goa,2007,No. of Rape cases,20
gujarat,2007,No. of Rape cases,316
haryana,2007,No. of Rape cases,488
himachal pradesh,2007,No. of Rape cases,159
jammu & kashmir,2007,No. of Rape cases,288
jharkhand,2007,No. of Rape cases,855
karnataka,2007,No. of Rape cases,436
kerala,2007,No. of Rape cases,512
madhya pradesh,2007,No. of Rape cases,3010
maharashtra,2007,No. of Rape cases,1451
manipur,2007,No. of Rape cases,20
meghalaya,2007,No. of Rape cases,82
mizoram,2007,No. of Rape cases,83
nagaland,2007,No. of Rape cases,13
odisha,2007,No. of Rape cases,939
punjab,2007,No. of Rape cases,519
rajasthan,2007,No. of Rape cases,1238
sikkim,2007,No. of Rape cases,24
tamil nadu,2007,No. of Rape cases,523
tripura,2007,No. of Rape cases,157
uttar pradesh,2007,No. of Rape cases,1648
uttarakhand,2007,No. of Rape cases,117
west bengal,2007,No. of Rape cases,2106
a & n islands,2007,No. of Rape cases,3
chandigarh,2007,No. of Rape cases,22
d & n haveli,2007,No. of Rape cases,7
daman & diu,2007,No. of Rape cases,1
lakshadweep,2007,No. of Rape cases,1
puducherry,2007,No. of Rape cases,9
andhra pradesh,2008,No. of Rape cases,1257
arunachal pradesh,2008,No. of Rape cases,42
assam,2008,No. of Rape cases,1438
bihar,2008,No. of Rape cases,1302
chhattisgarh,2008,No. of Rape cases,978
goa,2008,No. of Rape cases,30
gujarat,2008,No. of Rape cases,374
haryana,2008,No. of Rape cases,631
himachal pradesh,2008,No. of Rape cases,157
jammu & kashmir,2008,No. of Rape cases,219
jharkhand,2008,No. of Rape cases,791
karnataka,2008,No. of Rape cases,446
kerala,2008,No. of Rape cases,568
madhya pradesh,2008,No. of Rape cases,2937
maharashtra,2008,No. of Rape cases,1558
manipur,2008,No. of Rape cases,38
meghalaya,2008,No. of Rape cases,88
mizoram,2008,No. of Rape cases,77
nagaland,2008,No. of Rape cases,19
odisha,2008,No. of Rape cases,1113
punjab,2008,No. of Rape cases,517
rajasthan,2008,No. of Rape cases,1355
sikkim,2008,No. of Rape cases,20
tamil nadu,2008,No. of Rape cases,573
tripura,2008,No. of Rape cases,204
uttar pradesh,2008,No. of Rape cases,1871
uttarakhand,2008,No. of Rape cases,87
west bengal,2008,No. of Rape cases,2263
a & n islands,2008,No. of Rape cases,12
chandigarh,2008,No. of Rape cases,20
d & n haveli,2008,No. of Rape cases,6
daman & diu,2008,No. of Rape cases,0
lakshadweep,2008,No. of Rape cases,2
puducherry,2008,No. of Rape cases,8
andhra pradesh,2009,No. of Rape cases,1188
arunachal pradesh,2009,No. of Rape cases,59
assam,2009,No. of Rape cases,1631
bihar,2009,No. of Rape cases,929
chhattisgarh,2009,No. of Rape cases,976
goa,2009,No. of Rape cases,47
gujarat,2009,No. of Rape cases,433
haryana,2009,No. of Rape cases,603
himachal pradesh,2009,No. of Rape cases,183
jammu & kashmir,2009,No. of Rape cases,237
jharkhand,2009,No. of Rape cases,719
karnataka,2009,No. of Rape cases,509
kerala,2009,No. of Rape cases,568
madhya pradesh,2009,No. of Rape cases,2998
maharashtra,2009,No. of Rape cases,1483
manipur,2009,No. of Rape cases,31
meghalaya,2009,No. of Rape cases,112
mizoram,2009,No. of Rape cases,83
nagaland,2009,No. of Rape cases,22
odisha,2009,No. of Rape cases,1023
punjab,2009,No. of Rape cases,511
rajasthan,2009,No. of Rape cases,1519
sikkim,2009,No. of Rape cases,18
tamil nadu,2009,No. of Rape cases,596
tripura,2009,No. of Rape cases,190
uttar pradesh,2009,No. of Rape cases,1759
uttarakhand,2009,No. of Rape cases,111
west bengal,2009,No. of Rape cases,2336
a & n islands,2009,No. of Rape cases,18
chandigarh,2009,No. of Rape cases,29
d & n haveli,2009,No. of Rape cases,4
daman & diu,2009,No. of Rape cases,1
lakshadweep,2009,No. of Rape cases,1
puducherry,2009,No. of Rape cases,1
andhra pradesh,2010,No. of Rape cases,1362
arunachal pradesh,2010,No. of Rape cases,47
assam,2010,No. of Rape cases,1721
bihar,2010,No. of Rape cases,795
chhattisgarh,2010,No. of Rape cases,1012
goa,2010,No. of Rape cases,36
gujarat,2010,No. of Rape cases,408
haryana,2010,No. of Rape cases,720
himachal pradesh,2010,No. of Rape cases,160
jammu & kashmir,2010,No. of Rape cases,245
jharkhand,2010,No. of Rape cases,773
karnataka,2010,No. of Rape cases,586
kerala,2010,No. of Rape cases,634
madhya pradesh,2010,No. of Rape cases,3135
maharashtra,2010,No. of Rape cases,1599
manipur,2010,No. of Rape cases,34
meghalaya,2010,No. of Rape cases,149
mizoram,2010,No. of Rape cases,92
nagaland,2010,No. of Rape cases,16
odisha,2010,No. of Rape cases,1025
punjab,2010,No. of Rape cases,546
rajasthan,2010,No. of Rape cases,1571
sikkim,2010,No. of Rape cases,18
tamil nadu,2010,No. of Rape cases,686
tripura,2010,No. of Rape cases,238
uttar pradesh,2010,No. of Rape cases,1563
uttarakhand,2010,No. of Rape cases,121
west bengal,2010,No. of Rape cases,2311
a & n islands,2010,No. of Rape cases,24
chandigarh,2010,No. of Rape cases,31
d & n haveli,2010,No. of Rape cases,3
daman & diu,2010,No. of Rape cases,1
lakshadweep,2010,No. of Rape cases,0
puducherry,2010,No. of Rape cases,3
andhra pradesh,2011,No. of Rape cases,1442
arunachal pradesh,2011,No. of Rape cases,42
assam,2011,No. of Rape cases,1700
bihar,2011,No. of Rape cases,934
chhattisgarh,2011,No. of Rape cases,1053
goa,2011,No. of Rape cases,29
gujarat,2011,No. of Rape cases,439
haryana,2011,No. of Rape cases,733
himachal pradesh,2011,No. of Rape cases,168
jammu & kashmir,2011,No. of Rape cases,277
jharkhand,2011,No. of Rape cases,784
karnataka,2011,No. of Rape cases,636
kerala,2011,No. of Rape cases,1132
madhya pradesh,2011,No. of Rape cases,3406
maharashtra,2011,No. of Rape cases,1701
manipur,2011,No. of Rape cases,53
meghalaya,2011,No. of Rape cases,130
mizoram,2011,No. of Rape cases,77
nagaland,2011,No. of Rape cases,23
odisha,2011,No. of Rape cases,1112
punjab,2011,No. of Rape cases,479
rajasthan,2011,No. of Rape cases,1800
sikkim,2011,No. of Rape cases,16
tamil nadu,2011,No. of Rape cases,677
telangana,2011,No. of Rape cases,0
tripura,2011,No. of Rape cases,205
uttar pradesh,2011,No. of Rape cases,2042
uttarakhand,2011,No. of Rape cases,129
west bengal,2011,No. of Rape cases,2363
a & n islands,2011,No. of Rape cases,13
chandigarh,2011,No. of Rape cases,27
d&n haveli,2011,No. of Rape cases,4
daman & diu,2011,No. of Rape cases,1
delhi ut,2011,No. of Rape cases,572
lakshadweep,2011,No. of Rape cases,0
puducherry,2011,No. of Rape cases,7
andhra pradesh,2012,No. of Rape cases,1341
arunachal pradesh,2012,No. of Rape cases,46
assam,2012,No. of Rape cases,1716
bihar,2012,No. of Rape cases,927
chhattisgarh,2012,No. of Rape cases,1034
goa,2012,No. of Rape cases,55
gujarat,2012,No. of Rape cases,473
haryana,2012,No. of Rape cases,668
himachal pradesh,2012,No. of Rape cases,183
jammu & kashmir,2012,No. of Rape cases,303
jharkhand,2012,No. of Rape cases,812
karnataka,2012,No. of Rape cases,621
kerala,2012,No. of Rape cases,1019
madhya pradesh,2012,No. of Rape cases,3425
maharashtra,2012,No. of Rape cases,1839
manipur,2012,No. of Rape cases,63
meghalaya,2012,No. of Rape cases,164
mizoram,2012,No. of Rape cases,103
nagaland,2012,No. of Rape cases,21
odisha,2012,No. of Rape cases,1458
punjab,2012,No. of Rape cases,680
rajasthan,2012,No. of Rape cases,2049
sikkim,2012,No. of Rape cases,34
tamil nadu,2012,No. of Rape cases,737
telangana,2012,No. of Rape cases,0
tripura,2012,No. of Rape cases,229
uttar pradesh,2012,No. of Rape cases,1963
uttarakhand,2012,No. of Rape cases,148
west bengal,2012,No. of Rape cases,2046
a & n islands,2012,No. of Rape cases,12
chandigarh,2012,No. of Rape cases,27
d&n haveli,2012,No. of Rape cases,3
daman & diu,2012,No. of Rape cases,5
delhi ut,2012,No. of Rape cases,706
lakshadweep,2012,No. of Rape cases,0
puducherry,2012,No. of Rape cases,13
andhra pradesh,2013,No. of Rape cases,1635
arunachal pradesh,2013,No. of Rape cases,75
assam,2013,No. of Rape cases,1937
bihar,2013,No. of Rape cases,1128
chhattisgarh,2013,No. of Rape cases,1380
goa,2013,No. of Rape cases,86
gujarat,2013,No. of Rape cases,732
haryana,2013,No. of Rape cases,971
himachal pradesh,2013,No. of Rape cases,250
jammu & kashmir,2013,No. of Rape cases,378
jharkhand,2013,No. of Rape cases,1204
karnataka,2013,No. of Rape cases,1030
kerala,2013,No. of Rape cases,1221
madhya pradesh,2013,No. of Rape cases,4335
maharashtra,2013,No. of Rape cases,3063
manipur,2013,No. of Rape cases,72
meghalaya,2013,No. of Rape cases,183
mizoram,2013,No. of Rape cases,89
nagaland,2013,No. of Rape cases,31
odisha,2013,No. of Rape cases,1832
punjab,2013,No. of Rape cases,888
rajasthan,2013,No. of Rape cases,3285
sikkim,2013,No. of Rape cases,43
tamil nadu,2013,No. of Rape cases,923
telangana,2013,No. of Rape cases,0
tripura,2013,No. of Rape cases,233
uttar pradesh,2013,No. of Rape cases,3050
uttarakhand,2013,No. of Rape cases,228
west bengal,2013,No. of Rape cases,1685
a & n islands,2013,No. of Rape cases,27
chandigarh,2013,No. of Rape cases,45
d&n haveli,2013,No. of Rape cases,5
daman & diu,2013,No. of Rape cases,8
delhi ut,2013,No. of Rape cases,1636
lakshadweep,2013,No. of Rape cases,2
puducherry,2013,No. of Rape cases,17
andhra pradesh,2014,No. of Rape cases,961
arunachal pradesh,2014,No. of Rape cases,83
assam,2014,No. of Rape cases,1980
bihar,2014,No. of Rape cases,1127
chhattisgarh,2014,No. of Rape cases,1436
goa,2014,No. of Rape cases,95
gujarat,2014,No. of Rape cases,841
haryana,2014,No. of Rape cases,1174
himachal pradesh,2014,No. of Rape cases,283
jammu & kashmir,2014,No. of Rape cases,331
jharkhand,2014,No. of Rape cases,1050
karnataka,2014,No. of Rape cases,1324
kerala,2014,No. of Rape cases,1347
madhya pradesh,2014,No. of Rape cases,5076
maharashtra,2014,No. of Rape cases,3438
manipur,2014,No. of Rape cases,75
meghalaya,2014,No. of Rape cases,118
mizoram,2014,No. of Rape cases,120
nagaland,2014,No. of Rape cases,30
odisha,2014,No. of Rape cases,1978
punjab,2014,No. of Rape cases,981
rajasthan,2014,No. of Rape cases,3759
sikkim,2014,No. of Rape cases,47
tamil nadu,2014,No. of Rape cases,455
telangana,2014,No. of Rape cases,979
tripura,2014,No. of Rape cases,239
uttar pradesh,2014,No. of Rape cases,3467
uttarakhand,2014,No. of Rape cases,270
west bengal,2014,No. of Rape cases,1466
a & n islands,2014,No. of Rape cases,32
chandigarh,2014,No. of Rape cases,59
d&n haveli,2014,No. of Rape cases,5
daman & diu,2014,No. of Rape cases,2
delhi ut,2014,No. of Rape cases,2096
lakshadweep,2014,No. of Rape cases,1
puducherry,2014,No. of Rape cases,10
andhra pradesh,2015,No. of Rape cases,1027
arunachal pradesh,2015,No. of Rape cases,71
assam,2015,No. of Rape cases,1733
bihar,2015,No. of Rape cases,1041
chhattisgarh,2015,No. of Rape cases,1560
goa,2015,No. of Rape cases,86
gujarat,2015,No. of Rape cases,503
haryana,2015,No. of Rape cases,1070
himachal pradesh,2015,No. of Rape cases,244
jammu & kashmir,2015,No. of Rape cases,296
jharkhand,2015,No. of Rape cases,1053
karnataka,2015,No. of Rape cases,589
kerala,2015,No. of Rape cases,1256
madhya pradesh,2015,No. of Rape cases,4391
maharashtra,2015,No. of Rape cases,4144
manipur,2015,No. of Rape cases,46
meghalaya,2015,No. of Rape cases,93
mizoram,2015,No. of Rape cases,58
nagaland,2015,No. of Rape cases,35
odisha,2015,No. of Rape cases,2251
punjab,2015,No. of Rape cases,886
rajasthan,2015,No. of Rape cases,3644
sikkim,2015,No. of Rape cases,5
tamil nadu,2015,No. of Rape cases,421
telangana,2015,No. of Rape cases,1105
tripura,2015,No. of Rape cases,213
uttar pradesh,2015,No. of Rape cases,3025
uttarakhand,2015,No. of Rape cases,283
west bengal,2015,No. of Rape cases,1199
a & n islands,2015,No. of Rape cases,36
chandigarh,2015,No. of Rape cases,72
d&n haveli,2015,No. of Rape cases,8
daman & diu,2015,No. of Rape cases,5
delhi ut,2015,No. of Rape cases,2199
lakshadweep,2015,No. of Rape cases,0
puducherry,2015,No. of Rape cases,3
andhra pradesh,2016,No. of Rape cases,994
arunachal pradesh,2016,No. of Rape cases,92
assam,2016,No. of Rape cases,1779
bihar,2016,No. of Rape cases,1008
chhattisgarh,2016,No. of Rape cases,1626
goa,2016,No. of Rape cases,61
gujarat,2016,No. of Rape cases,982
haryana,2016,No. of Rape cases,1187
himachal pradesh,2016,No. of Rape cases,252
jammu & kashmir,2016,No. of Rape cases,256
jharkhand,2016,No. of Rape cases,1109
karnataka,2016,No. of Rape cases,1655
kerala,2016,No. of Rape cases,1656
madhya pradesh,2016,No. of Rape cases,4882
maharashtra,2016,No. of Rape cases,4189
manipur,2016,No. of Rape cases,55
meghalaya,2016,No. of Rape cases,190
mizoram,2016,No. of Rape cases,23
nagaland,2016,No. of Rape cases,26
odisha,2016,No. of Rape cases,1983
punjab,2016,No. of Rape cases,838
rajasthan,2016,No. of Rape cases,3656
sikkim,2016,No. of Rape cases,92
tamil nadu,2016,No. of Rape cases,319
telangana,2016,No. of Rape cases,1278
tripura,2016,No. of Rape cases,207
uttar pradesh,2016,No. of Rape cases,4816
uttarakhand,2016,No. of Rape cases,336
west bengal,2016,No. of Rape cases,1110
a & n islands,2016,No. of Rape cases,30
chandigarh,2016,No. of Rape cases,68
d&n haveli,2016,No. of Rape cases,14
daman & diu,2016,No. of Rape cases,12
delhi ut,2016,No. of Rape cases,2155
lakshadweep,2016,No. of Rape cases,5
puducherry,2016,No. of Rape cases,6
andhra pradesh,2017,No. of Rape cases,988
arunachal pradesh,2017,No. of Rape cases,59
assam,2017,No. of Rape cases,1772
bihar,2017,No. of Rape cases,605
chhattisgarh,2017,No. of Rape cases,1908
goa,2017,No. of Rape cases,76
gujarat,2017,No. of Rape cases,477
haryana,2017,No. of Rape cases,1099
himachal pradesh,2017,No. of Rape cases,249
jammu & kashmir,2017,No. of Rape cases,296
jharkhand,2017,No. of Rape cases,914
karnataka,2017,No. of Rape cases,546
kerala,2017,No. of Rape cases,2003
madhya pradesh,2017,No. of Rape cases,5562
maharashtra,2017,No. of Rape cases,1933
manipur,2017,No. of Rape cases,40
meghalaya,2017,No. of Rape cases,119
mizoram,2017,No. of Rape cases,25
nagaland,2017,No. of Rape cases,10
odisha,2017,No. of Rape cases,2070
punjab,2017,No. of Rape cases,530
rajasthan,2017,No. of Rape cases,3305
sikkim,2017,No. of Rape cases,17
tamil nadu,2017,No. of Rape cases,283
telangana,2017,No. of Rape cases,552
tripura,2017,No. of Rape cases,95
uttar pradesh,2017,No. of Rape cases,4246
uttarakhand,2017,No. of Rape cases,374
west bengal,2017,No. of Rape cases,1084
a & n islands,2017,No. of Rape cases,13
chandigarh,2017,No. of Rape cases,65
d&n haveli,2017,No. of Rape cases,1
daman & diu,2017,No. of Rape cases,7
delhi ut,2017,No. of Rape cases,1229
lakshadweep,2017,No. of Rape cases,0
puducherry,2017,No. of Rape cases,7
andhra pradesh,2018,No. of Rape cases,971
arunachal pradesh,2018,No. of Rape cases,67
assam,2018,No. of Rape cases,1648
bihar,2018,No. of Rape cases,651
chhattisgarh,2018,No. of Rape cases,2091
goa,2018,No. of Rape cases,61
gujarat,2018,No. of Rape cases,553
haryana,2018,No. of Rape cases,1296
himachal pradesh,2018,No. of Rape cases,344
jammu & kashmir,2018,No. of Rape cases,320
jharkhand,2018,No. of Rape cases,1090
karnataka,2018,No. of Rape cases,492
kerala,2018,No. of Rape cases,1945
madhya pradesh,2018,No. of Rape cases,5433
maharashtra,2018,No. of Rape cases,2142
manipur,2018,No. of Rape cases,52
meghalaya,2018,No. of Rape cases,87
mizoram,2018,No. of Rape cases,50
nagaland,2018,No. of Rape cases,10
odisha,2018,No. of Rape cases,918
punjab,2018,No. of Rape cases,831
rajasthan,2018,No. of Rape cases,4335
sikkim,2018,No. of Rape cases,16
tamil nadu,2018,No. of Rape cases,331
telangana,2018,No. of Rape cases,606
tripura,2018,No. of Rape cases,97
uttar pradesh,2018,No. of Rape cases,3946
uttarakhand,2018,No. of Rape cases,561
west bengal,2018,No. of Rape cases,1069
a & n islands,2018,No. of Rape cases,30
chandigarh,2018,No. of Rape cases,86
d&n haveli,2018,No. of Rape cases,7
daman & diu,2018,No. of Rape cases,3
delhi ut,2018,No. of Rape cases,1215
lakshadweep,2018,No. of Rape cases,2
puducherry,2018,No. of Rape cases,0
andhra pradesh,2019,No. of Rape cases,1086
arunachal pradesh,2019,No. of Rape cases,63
assam,2019,No. of Rape cases,1773
bihar,2019,No. of Rape cases,730
chhattisgarh,2019,No. of Rape cases,1036
goa,2019,No. of Rape cases,72
gujarat,2019,No. of Rape cases,528
haryana,2019,No. of Rape cases,1480
himachal pradesh,2019,No. of Rape cases,359
jammu & kashmir,2019,No. of Rape cases,223
jharkhand,2019,No. of Rape cases,1416
karnataka,2019,No. of Rape cases,505
kerala,2019,No. of Rape cases,2023
madhya pradesh,2019,No. of Rape cases,2485
maharashtra,2019,No. of Rape cases,2299
manipur,2019,No. of Rape cases,36
meghalaya,2019,No. of Rape cases,102
mizoram,2019,No. of Rape cases,42
nagaland,2019,No. of Rape cases,8
odisha,2019,No. of Rape cases,1382
punjab,2019,No. of Rape cases,1002
rajasthan,2019,No. of Rape cases,5997
sikkim,2019,No. of Rape cases,11
tamil nadu,2019,No. of Rape cases,362
telangana,2019,No. of Rape cases,873
tripura,2019,No. of Rape cases,88
uttar pradesh,2019,No. of Rape cases,3065
uttarakhand,2019,No. of Rape cases,526
west bengal,2019,No. of Rape cases,1069
a & n islands,2019,No. of Rape cases,13
chandigarh,2019,No. of Rape cases,112
d&n haveli,2019,No. of Rape cases,0
daman & diu,2019,No. of Rape cases,4
delhi ut,2019,No. of Rape cases,1253
lakshadweep,2019,No. of Rape cases,0
puducherry,2019,No. of Rape cases,10
andhra pradesh,2020,No. of Rape cases,1095
arunachal pradesh,2020,No. of Rape cases,60
assam,2020,No. of Rape cases,1657
bihar,2020,No. of Rape cases,806
chhattisgarh,2020,No. of Rape cases,1210
goa,2020,No. of Rape cases,60
gujarat,2020,No. of Rape cases,486
haryana,2020,No. of Rape cases,1373
himachal pradesh,2020,No. of Rape cases,331
jammu & kashmir,2020,No. of Rape cases,1321
jharkhand,2020,No. of Rape cases,504
karnataka,2020,No. of Rape cases,637
kerala,2020,No. of Rape cases,2339
madhya pradesh,2020,No. of Rape cases,2061
maharashtra,2020,No. of Rape cases,32
manipur,2020,No. of Rape cases,67
meghalaya,2020,No. of Rape cases,33
mizoram,2020,No. of Rape cases,4
nagaland,2020,No. of Rape cases,1211
odisha,2020,No. of Rape cases,502
punjab,2020,No. of Rape cases,5310
rajasthan,2020,No. of Rape cases,12
sikkim,2020,No. of Rape cases,389
tamil nadu,2020,No. of Rape cases,764
telangana,2020,No. of Rape cases,79
tripura,2020,No. of Rape cases,2769
uttar pradesh,2020,No. of Rape cases,487
uttarakhand,2020,No. of Rape cases,1128
west bengal,2020,No. of Rape cases,2
a & n islands,2020,No. of Rape cases,60
chandigarh,2020,No. of Rape cases,4
d&n haveli,2020,No. of Rape cases,997
